termName	cui	tty
Hemianopia	C0018979	finding
Hypersomnia	C0917799	disorder
Hereditary corneal dystrophy	C0010035	disorder
Failed medical induction of labor	C0269808	disorder
Derangement of posterior horn of lateral meniscus	C0158061	disorder
Rectal pain	C0034886	finding
Simple renal cyst	C0268800	disorder
Steinert myotonic dystrophy syndrome	C0027126	disorder
Iridocyclitis	C0022073	disorder
Bulimia nervosa	C2267227	disorder
Rheumatic aortic regurgitation	C0155568	disorder
Candidiasis	C0006840	disorder
Thrombotic thrombocytopenic purpura	C0034155	disorder
Erb-Duchenne paralysis	C0270897	disorder
Feeding problem	C0232466	finding
Cocaine abuse	C0009171	disorder
Bipolar I disorder, single manic episode, in partial remission	C0236761	disorder
Obstructive sleep apnea syndrome	C0520679	disorder
Osteogenesis imperfecta	C0029434	disorder
History and physical examination, annual for health maintenance	C0199203	procedure
Scleritis	C0036416	disorder
Viral enteritis	C0042708	disorder
Influenza due to Influenza virus, type A, human	C0276351	disorder
Ganglion of joint	C0158334	disorder
Normal menstrual cycle	C0025329	finding
Cheilitis	C0007971	disorder
Thigh pain	C0241374	finding
Late effect of radiation	C0160814	disorder
Galactorrhea not associated with childbirth	C0235660	disorder
Endometritis	C0014179	disorder
At risk for infection	C0582147	finding
Dysthymia	C0013415	disorder
Rheumatic mitral stenosis with regurgitation	C0264767	disorder
Subdeltoid bursitis	C0149848	disorder
Frontal sinusitis	C0016735	disorder
Subconjunctival hemorrhage	C0038534	disorder
Gastric polyp	C0236048	disorder
Chronic mucoid otitis media	C1455742	disorder
Cortical senile cataract	C0154980	disorder
Congenital pneumonia	C0158935	disorder
Contracture of joint	C0009918	disorder
Poisoning by drug AND/OR medicinal substance	C0013221	disorder
Malignant essential hypertension	C0024588	disorder
Anemia due to unknown mechanism	C0272009	disorder
Congenital genu varum	C0152432	disorder
Bladder trabeculation	C0429803	disorder
Polyneuropathy, organomegaly, endocrinopathy, monoclonal gammopathy, and skin changes (POEMS) syndrome	C0085404	disorder
Hypersomnia with sleep apnea	C0020530	disorder
Mild major depression, single episode	C0154403	disorder
Mechanical complication due to urethral indwelling catheter	C0161767	disorder
Simple partial seizure, consciousness not impaired	C0234974	disorder
Complication of transplanted pancreas	C0161803	disorder
Congenital cataract	C0009691	disorder
Acute prostatitis	C0149524	disorder
Sudden hearing loss	C0011057	disorder
Closed transcervical fracture of femur	C0272731	disorder
Tailor's bunion	C0263957	disorder
Closed fracture of three ribs	C0159620	disorder
Tubal pregnancy	C0032994	disorder
Disorder of breast	C0006145	disorder
Mitral valve stenosis	C0026269	disorder
Absence seizure	C0014553	disorder
Inferior vena cava syndrome	C0265072	disorder
Respiratory obstruction	C0001883	disorder
Chronic nonalcoholic liver disease	C0221388	disorder
Abnormal vision	C0042798	finding
Candidiasis of mouth	C0006849	disorder
Breath smells unpleasant	C0018520	finding
Cyst of ovary	C0029927	disorder
Loss of appetite	C1971624	finding
Implantation of pulmonary valve prosthesis or synthetic device	C0190103	procedure
Epigastric pain	C0232493	finding
Fetal intrauterine distress first noted during labor AND/OR delivery in liveborn infant	C0270139	finding
Diffuse spasm of esophagus	C0014863	disorder
Teething syndrome	C0039437	disorder
Swelling of limb	C0158369	finding
Nocturnal enuresis	C0270327	finding
Enophthalmos	C0014306	disorder
Diffuse Lewy body disease	C0752347	disorder
Dysarthria	C0013362	finding
Hemoglobinopathy	C0019045	disorder
Perforation of nasal septum	C0235761	disorder
Appendectomy	C0003611	procedure
Irregular periods	C0156404	finding
Postgastric surgery syndrome	C0032763	disorder
Palpitations	C0030252	finding
Serous otitis media	C0271453	disorder
Hyperglycemia	C0020456	disorder
Insertion of implantable venous access port	C0191115	procedure
Spontaneous pneumothorax	C0149781	disorder
Prolapsed internal hemorrhoids	C0265037	disorder
Sleep walking disorder	C0037672	disorder
Pneumoconiosis due to silica	C0037116	disorder
Large liver	C0019209	disorder
Intolerant of cold	C0009269	finding
Acute suppuration of nasal sinus	C0264230	disorder
Cardiovascular stress test using treadmill	C0430458	procedure
Chronic mastoiditis	C0155447	disorder
Disorder of skin AND/OR subcutaneous tissue	C0178298	disorder
Narcissistic personality disorder	C0027402	disorder
Congenital spondylolysis of lumbosacral region	C0432162	disorder
Closed fracture of patella	C0159850	disorder
Dental caries	C0011334	disorder
Sexually transmitted infectious disease	C0036916	disorder
Pediculosis capitis	C0030757	disorder
Intestinal obstruction	C0021843	disorder
Pleural effusion associated with pulmonary infection	C0264550	disorder
Cervical arthrodesis	C0186010	procedure
Injury of back	C0004601	disorder
Unilateral radical mastectomy	C0041690	procedure
Anomaly of tooth position	C0155940	disorder
Worried well	C0233403	finding
Disorder of brain	C0006111	disorder
Open angle with borderline findings	C0271143	disorder
Nummular eczema	C0085656	disorder
Bursitis of hip	C0263922	disorder
Episcleritis	C0014583	disorder
Chronic serous otitis media	C0155421	disorder
Collagen disease	C0009326	disorder
Closed fracture of phalanx of foot	C0578705	disorder
Closed fracture of nasal bones	C0159322	disorder
Late effect of spinal cord injury	C0160797	disorder
Neck pain	C0007859	finding
Pain in female genitalia on intercourse	C0013394	finding
Hemarthrosis	C0018924	disorder
Atherosclerosis of aorta	C0155733	disorder
Cardiomegaly	C0018800	disorder
Parotidectomy	C0193317	procedure
Sprain of medial collateral ligament of knee	C0160081	disorder
Chest pain on exertion	C0232288	finding
Congenital hydrocele	C0159015	disorder
Bone density study, dual photon absorptiometry	C0203676	procedure
Aggressive type unsocialized behavior disorder	C0233530	disorder
Thyroiditis	C0040147	disorder
Perianal abscess	C0031019	disorder
Arachnoiditis	C0003708	disorder
Endocervical polyp	C0014126	disorder
Injury of head	C0018674	disorder
Common cold	C0009443	disorder
Allergic granulomatosis angiitis	C0008728	disorder
Poisoning by antidepressant	C0161578	disorder
Vasomotor rhinitis	C0035460	disorder
Congestion of nasal sinus	C0152029	disorder
Degenerative joint disease of ankle AND/OR foot	C0263750	disorder
Suicide attempt	C0038663	event
Cholangitis	C0008311	disorder
Chronic pain	C0150055	finding
Muscle fasciculation	C0015644	finding
Myeloid metaplasia	C0027013	morphologic abnormality
Congestive rheumatic heart failure	C0155582	disorder
Congenital cystic kidney disease	C0311245	disorder
Osteochondritis dissecans	C0029421	disorder
Retained foreign body in eye	C0015401	disorder
Secondary hypothyroidism	C0271789	disorder
Premenstrual tension syndrome	C0376356	disorder
Astigmatism	C0004106	disorder
Abdominal pregnancy	C0032984	disorder
Synovial cyst of popliteal space	C0032650	disorder
Neonatal jaundice due to delayed conjugation from breast milk inhibitors	C0270215	disorder
Fetus OR newborn affected by maternal anesthesia AND/OR analgesia	C0270063	disorder
Impaired mobility	C0518456	finding
Generalized aches and pains	C0281856	finding
Moderate manic bipolar I disorder	C0236768	disorder
Unplanned pregnancy	C0041747	finding
Congenital insufficiency of tricuspid valve	C0265840	disorder
Upper abdominal pain	C0232492	finding
Oophorectomy	C0029936	procedure
Moderate major depression	C0270456	disorder
Medulloblastoma	C0025149	morphologic abnormality
Bipolar II disorder	C0236788	disorder
Neoplastic pleural effusion	C0080032	disorder
Cor pulmonale	C0034072	disorder
Patent ductus arteriosus	C0013274	disorder
Macrocytic anemia	C0002886	disorder
Agitated depression	C0235136	disorder
Hyperinsulinism	C0020459	disorder
Dilated cardiomyopathy secondary to alcohol	C0007192	disorder
Stenosis of cervix	C0269199	disorder
Spinal stenosis in cervical region	C0158280	disorder
Reduced libido	C0011124	finding
Gynecologic examination	C0200044	procedure
Transient blindness	C0155003	disorder
Corrected transposition of great vessels	C0344616	disorder
Sjögren's syndrome	C1527336	disorder
Bursitis	C0006444	disorder
Pernicious anemia	C0002892	disorder
Hiatal hernia	C0019291	disorder
Heart failure	C0018801	disorder
Collapse of vertebra	C0410550	disorder
Fatigue	C0015672	finding
Neuritis	C0027813	disorder
Contusion of thigh	C0160949	disorder
Purulent rhinitis	C0264272	disorder
Dependent personality disorder	C0011548	disorder
Slowing of urinary stream	C0232854	finding
Open-angle glaucoma	C0017612	disorder
Burn of lower limb	C0274137	disorder
Amphetamine abuse	C0236807	disorder
Schizoaffective disorder, depressive type	C0270497	disorder
Leukopenia	C0023530	disorder
Tinea corporis	C0040252	disorder
Herniation of nucleus pulposus	C0678212	disorder
Parapharyngeal abscess	C0155842	disorder
Chronic gastritis	C0085695	disorder
Cannabis dependence	C0006870	disorder
Meralgia paresthetica	C0152110	disorder
Epiphora due to insufficient drainage	C0155234	disorder
Liver cyst	C0267834	disorder
Cerebellar ataxia	C0007758	disorder
Ex-smoker	C0337671	finding
Acute appendicitis	C0085693	disorder
Displacement of cervical intervertebral disc without myelopathy	C0158253	disorder
Left heart failure	C0023212	disorder
Poisoning by sedative AND/OR hypnotic	C0274638	disorder
Bilateral inguinal hernia	C0267672	disorder
Constrictive pericarditis	C0031048	disorder
Ineffective thermoregulation	C0150083	finding
Megaloblastic anemia due to folate deficiency	C0151482	disorder
Anterior horn cell disease	C0154681	disorder
Dacryocystitis	C0010930	disorder
Autoimmune disease	C0004364	disorder
Corneal abrasion	C0010032	disorder
Cardiomyopathy	C0878544	disorder
Disorder of intestine	C0021831	disorder
Ulceration of intestine	C0151971	disorder
Secondary physiologic amenorrhea	C0232940	finding
Amyotrophic lateral sclerosis	C0002736	disorder
Centesis	C0034115	procedure
Chronic rhinitis	C0008711	disorder
Infertile	C0021359	finding
Influenza vaccination	C0042200	procedure
Mastitis, associated with childbirth	C0269985	disorder
Hypertensive heart AND renal disease	C0155601	disorder
Biopsy of liver	C0193388	procedure
Bleeding gums	C0017565	finding
Acute suppurative otitis media with spontaneous rupture of ear drum	C0395862	disorder
Tetralogy of Fallot	C0039685	disorder
Traumatic urethral stricture	C0403698	disorder
Alcohol withdrawal delirium	C0001957	disorder
Unstable lie	C0426066	disorder
Old bucket handle tear of medial meniscus	C0158054	disorder
Human immunodeficiency virus infection	C0019693	disorder
Contracture of joint of hand	C0158113	disorder
Rheumatic mitral stenosis	C0264766	disorder
Total hysterectomy with removal of both tubes and ovaries	C0195290	procedure
Open reduction of fracture	C0185373	procedure
Laparotomy	C0023038	procedure
Idiopathic peripheral autonomic neuropathy	C0154690	disorder
Immunosuppressive therapy	C0021079	procedure
Cystic fibrosis of the lung	C0392164	disorder
Postpartum state	C0086839	finding
Fall from ladder	C0337212	event
Mild mental retardation (I.Q. 50-70)	C0026106	disorder
Hyperreflexia	C0151889	finding
Heavy drinker	C0337678	finding
Visual field study	C0042825	procedure
Infective otitis externa	C0021355	disorder
Mechanical vitrectomy by pars plana approach	C0563537	procedure
Disorder of phosphorus metabolism	C0031707	disorder
Dystrophia unguium	C0221260	disorder
Opioid withdrawal	C0029104	disorder
Lead screening	C1327695	procedure
Aortic valve disorder	C1260873	disorder
Respiratory arrest	C0162297	disorder
Prinzmetal angina	C0002963	disorder
Reactive depression (situational)	C0011579	disorder
Pulmonary emphysema	C0034067	disorder
Convulsions in the newborn	C0159020	disorder
Aphasia	C0003537	finding
Hilar lymphadenopathy	C0456973	disorder
Herpes zoster ophthalmicus	C0019364	disorder
Iron deficiency anemia	C0162316	disorder
Urge incontinence of urine	C0150045	finding
Pinguecula	C0152255	disorder
Bacterial infectious disease	C0004623	disorder
Chronic rheumatic heart disease	C0175708	disorder
Hematemesis	C0018926	disorder
Chronic tubotympanic suppurative otitis media	C0155440	disorder
Cholesteatoma of middle ear	C0155490	disorder
Hemorrhagic cystitis	C0085692	disorder
Aptyalism	C0043352	disorder
Lower gastrointestinal hemorrhage	C0024050	disorder
Sprain of hand	C0160068	disorder
Chronic pulmonary heart disease	C0238074	disorder
Mass of testicle	C0241353	finding
Male pattern alopecia	C0162311	disorder
Cleft palate	C0008925	disorder
Amaurosis fugax	C0149793	disorder
Transplant of lung	C0024128	procedure
Hematoma of pinna	C0271413	disorder
Muscle atrophy	C0026846	disorder
Altered bowel function	C0278008	finding
Keratoconjunctivitis	C0022573	disorder
Alteration in nutrition: less than body requirements	C0231353	finding
Secondary pulmonary hypertension	C0264936	disorder
Disorder of skeletal system	C0263661	disorder
Iatrogenic hypothyroidism	C0271803	disorder
Amputation of leg through tibia and fibula	C0002692	procedure
Mycobacteriosis	C0026918	disorder
Premenopausal menorrhagia	C0156408	finding
Congenital anomaly of nervous system	C0497552	disorder
Spondylosis	C0038019	disorder
Anal polyp	C0267573	disorder
Herpes simplex	C0019348	disorder
Heart murmur	C0018808	finding
Acne vulgaris	C0001144	disorder
Complication of surgical procedure	C0274311	disorder
Chronic congestive heart failure	C0264722	disorder
Chronic pansinusitis	C0155827	disorder
Globus sensation	C0232534	finding
Pyometra	C0034215	disorder
Edema of eyelid	C0162285	disorder
Suicide by self-administered drug	C0277663	event
Asteatosis cutis	C0263465	disorder
Cardiogenic shock	C0036980	disorder
Systemic sclerosis	C0036421	disorder
Breast lump	C0024103	finding
Repair of retina for retinal detachment	C0197839	procedure
Discectomy for intervertebral herniated disc, nucleus pulposus	C0185934	procedure
Vesicovaginal fistula	C0042582	disorder
Primary cardiomyopathy	C0033141	disorder
Chronic duodenal ulcer with hemorrhage	C0267267	disorder
Helicobacter-associated gastritis	C0343378	disorder
Cryptogenic cirrhosis	C0267809	disorder
Secondary cardiomyopathy	C0036529	disorder
Hyponatremia	C0020625	disorder
Microbial identification kit, rapid strep method	C0201166	procedure
Sleep terror disorder	C0037320	disorder
Congenital genu valgum	C0265668	disorder
Psychalgia	C0152174	finding
Acute gastric ulcer with hemorrhage	C0155967	disorder
Tobacco dependence syndrome	C0040332	disorder
Closed intertrochanteric fracture	C0272744	disorder
Hematoma of scrotum	C0268936	disorder
Traumatic pneumothorax	C0282015	disorder
Contracture of joint of shoulder region	C0158110	disorder
Photosensitivity	C0349506	finding
Psoriasis	C0033860	disorder
Tonsillitis	C0040425	disorder
Transurethral prostatectomy	C0040771	procedure
Closed fracture of shaft of humerus	C0159692	disorder
Vomiting of pregnancy	C0269661	disorder
Occipitoanterior position	C0426093	finding
Nocturnal muscle spasm	C0231513	finding
Pruritus ani	C0033775	disorder
Internal hemorrhoids	C0265034	disorder
Injury of neck	C0027531	disorder
Prostatectomy	C0033573	procedure
Vertebral artery stenosis	C0265103	disorder
Gout	C0018099	disorder
Fetal distress, in liveborn infant	C0270124	finding
